d0,d1,target
0.825385988,-1.197254419,other
0.581671715,-0.721144795,other
0.826531768,0.031452835,other
-1.112880111,-0.722592533,other
-1.377486229,0.057980657,other
0.192541674,-0.591919065,other
-0.609318495,-1.348999143,other
-0.43247509,1.250590801,other
-0.324867189,0.451159507,other
0.65749985,0.900665283,other
1.112157941,-1.38032794,other
1.946752071,-0.493534863,other
-1.387049079,0.166892752,other
0.174065351,-1.151794672,other
-0.795593917,1.551315904,other
-0.001080048,-1.178846598,other
-0.953435183,2.236459017,other
-0.346996665,0.283922076,other
-0.096897297,-1.048774719,other
0.065988936,0.740780175,other
-1.298050165,2.193606615,suspicious
1.077667713,0.238230795,suspicious
